iso3,year,month,pop,ACLED_conflict_related_deaths,ACLED_protests,ACLED_strategic_developments,ACLED_violence_against_civilians,ACLED_battles,ACLED_explosions_remote_violence,ACLED_riots,ACLED_events,ACLED_protests_peaceful_protest,ACLED_strategic_developments_change_to_group_activity,ACLED_strategic_developments_arrests,ACLED_protests_protest_with_intervention,ACLED_violence_against_civilians_attack,ACLED_battles_armed_clash,ACLED_battles_government_regains_territory,ACLED_battles_non_state_actor_overtakes_territory,ACLED_explosions_remote_violence_air_drone_strike,ACLED_explosions_remote_violence_remote_explosive_landmine_ied,ACLED_explosions_remote_violence_shelling_artillery_missile_attack,ACLED_explosions_remote_violence_suicide_bomb,ACLED_riots_mob_violence,ACLED_strategic_developments_disrupted_weapons_use,ACLED_strategic_developments_looting_property_destruction,ACLED_strategic_developments_non_violent_transfer_of_territory,ACLED_violence_against_civilians_abduction_forced_disappearance,ACLED_violence_against_civilians_sexual_violence,ACLED_riots_violent_demonstration,ACLED_strategic_developments_agreement,ACLED_strategic_developments_headquarters_or_base_established,ACLED_protests_excessive_force_against_protesters,ACLED_strategic_developments_other,ACLED_explosions_remote_violence_grenade,ACLED_explosions_remote_violence_chemical_weapon,ACLED_Gang_Events,yearmon,region_code,ACLED_conflict_related_deaths_change,ACLED_events_change,ACLED_BRD_per_100k
CUB,2019,4,11202846,1,2,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr 2019,LAC,NA,NA,0.008926303191171244
BIH,2019,4,3345533,1,9,0,4,0,0,1,9,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,Apr 2019,ECA,0,-0.47058823529411764,0.029890603380687022
IRN,2019,4,87051648,2,101,6,1,1,1,4,15,99,0,1,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,Apr 2019,MNA,-0.9016393442622951,-0.4285714285714286,0.002297486659873458
HRV,2019,4,3949390,1,12,0,2,0,1,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,Apr 2019,ECA,NA,NA,0.025320365929928423
JOR,2019,4,10671891,1,93,5,0,1,0,7,13,93,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,Apr 2019,MNA,-0.7,-0.09302325581395354,0.00937041054860849
LBN,2019,4,5794594,2,51,7,3,3,1,7,22,51,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,7,0,0,1,Apr 2019,MNA,-0.2941176470588236,-0.04347826086956519,0.03451492891477815
ZAF,2019,4,59587885,2,51,0,2,0,0,82,90,47,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,73,0,0,1,0,0,0,2,Apr 2019,SSA,-0.625,0.4535666218034995,0.0033563869568453385
RWA,2019,4,12776103,2,0,1,2,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr 2019,SSA,-0.4782608695652174,-0.10000000000000009,0.015654225705600527
CHN,2019,4,1407745000,1,180,49,47,0,0,5,125,160,6,2,17,12,0,0,0,0,0,0,0,1,0,38,0,33,0,4,1,0,2,1,0,0,4,Apr 2019,EAP,-0.6923076923076923,-0.09855769230769229,7.103559238356379e-5
SLV,2019,5,6222318,79,11,2,46,25,0,2,128,11,0,1,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,53,May 2019,LAC,0.04520396912899671,0.09168443496801704,1.2696233140125592
HND,2019,5,9943633,83,138,6,55,10,1,39,183,134,0,0,1,3,2,0,0,0,0,0,0,4,0,0,0,0,1,35,0,0,1,0,0,0,68,May 2019,LAC,0.37001375515818435,0.6712328767123288,0.8347049815696134
GTM,2019,5,17103803,119,22,1,44,53,0,14,207,22,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,1,0,0,95,May 2019,LAC,0.7204819277108432,0.36333699231613603,0.6957516991981257
BRA,2019,5,207455459,517,731,52,197,474,20,57,1488,721,3,12,7,23,23,0,0,0,0,0,0,15,0,0,0,2,1,41,0,0,3,2,0,0,678,May 2019,LAC,-0.018043684710351338,-0.1056796554142041,0.2492101208095951
MEX,2019,5,125762982,658,424,36,401,146,2,63,1178,421,0,23,3,10,21,0,0,0,0,0,0,48,1,1,0,2,0,14,0,0,0,1,0,0,527,May 2019,LAC,-0.19821283509341991,-0.16552538370720193,0.5232064233336962
ETH,2019,5,115737383,97,13,0,4,2,1,1,8,13,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,May 2019,SSA,-0.05977382875605819,-0.8312829525483304,0.08381043141436852
AFG,2019,5,37856121,3392,0,18,25,608,274,1,989,0,0,0,0,17,579,0,8,126,87,28,2,1,10,0,3,0,1,0,0,0,0,1,0,0,63,May 2019,SAR,-0.09444036574784753,-0.15865589111016587,8.960241858905725
PRY,2019,5,6515058,7,28,0,2,1,0,1,5,27,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,May 2019,LAC,3,-0.3939393939393939,0.1074434026527469
BLZ,2019,5,385829,8,3,0,16,0,0,0,31,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,May 2019,LAC,0.26315789473684226,0.3052631578947369,2.073457412480659
BGD,2019,5,164913055,26,96,0,25,11,1,28,86,93,0,0,3,9,10,0,0,0,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,18,May 2019,SAR,0.1428571428571428,-0.18030182684670382,0.015765883422631397
PAK,2019,5,230800899,182,442,16,41,49,11,41,212,438,2,4,4,24,28,0,0,0,3,0,1,22,3,0,0,0,1,19,0,0,0,0,1,0,50,May 2019,SAR,0.7035881435257412,0.105606258148631,0.07885584535786405
IND,2019,5,1389030312,136,1049,33,161,75,27,677,1081,999,1,3,50,113,74,0,0,0,12,0,0,548,7,16,0,4,1,129,0,0,0,1,6,0,58,May 2019,SAR,-0.0030543677458765295,0.5496356468761199,0.00979100303464076
PHL,2019,5,110804683,148,33,3,95,43,6,3,217,31,0,0,1,51,30,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,65,May 2019,EAP,-0.1830726770929162,0.15733333333333333,0.13356836190759194
COD,2019,5,92947442,319,52,10,61,68,0,20,212,46,5,1,5,21,54,0,1,0,0,0,0,11,0,1,0,6,2,9,0,0,1,1,0,0,47,May 2019,SSA,0.21446700507614214,-0.02304147465437789,0.34320471132492275
TUR,2019,5,82579440,71,355,21,19,60,12,4,213,262,11,1,92,17,60,0,0,5,4,1,0,4,0,8,0,0,0,0,0,0,1,1,0,0,4,May 2019,ECA,0.01187648456057011,0.2935222672064779,0.08597781723877033
THA,2019,5,71522271,18,11,3,14,10,13,0,53,11,0,1,0,4,7,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,13,May 2019,EAP,0.33333333333333326,0.4008810572687225,0.025166986098637722
YEM,2019,5,35111408,2838,17,57,52,300,580,2,1021,17,29,3,0,38,237,47,10,115,45,413,1,0,2,6,4,1,0,2,2,1,0,5,0,0,30,May 2019,MNA,-0.03802045082198746,-0.017008985879332528,8.08284304633981
UKR,2019,5,44957458,21,158,14,14,604,651,15,1332,152,3,0,6,4,603,0,0,0,3,637,0,9,3,0,0,0,1,6,0,0,0,0,1,0,28,May 2019,ECA,-0.7313432835820896,0.02983055215514452,0.04671082604358992
MMR,2019,5,52640713,225,42,7,20,31,17,5,101,40,3,0,0,8,30,0,0,0,2,3,0,5,0,0,0,4,2,0,2,1,2,1,0,0,19,May 2019,EAP,3.918032786885246,0.14664143803216656,0.4274258215309508
SYR,2019,5,20353534,1571,18,63,66,243,1842,6,2400,18,14,8,0,26,167,21,6,1197,11,525,2,4,5,16,0,21,0,2,1,0,0,13,0,1,180,May 2019,MNA,-0.046867890186561456,0.5230842455973346,7.718561307338568
COL,2019,5,49907985,133,66,31,106,44,18,19,339,65,6,0,1,16,27,0,0,2,1,0,0,11,10,6,0,2,1,8,0,0,0,5,3,0,120,May 2019,LAC,0.07619689817936615,0.06214099216710167,0.2664904223242032
CMR,2019,5,25506095,124,1,6,34,30,3,0,75,1,1,3,0,25,30,0,0,0,1,0,1,0,0,2,0,6,1,0,0,0,0,0,1,0,2,May 2019,SSA,-0.1696428571428572,-0.09999999999999998,0.4861583084356896
IRQ,2019,5,41192171,317,29,22,12,63,107,0,236,28,6,1,0,10,60,0,0,62,18,4,0,0,3,4,0,0,0,0,0,0,1,5,0,0,31,May 2019,MNA,-0.1036757775683318,-0.11693171188026197,0.7695637115120735
BEN,2019,5,12726755,9,0,1,1,3,0,3,8,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,May 2019,SSA,1.1599999999999997,1.2325581395348837,0.07071716238742712
VEN,2019,5,28938098,332,231,11,112,100,1,18,404,202,2,2,20,46,39,0,0,0,0,0,0,4,1,3,1,0,0,12,0,0,8,0,0,0,133,May 2019,LAC,0.4243832677869146,0.43135518157661656,1.1472765072535174
MDG,2019,5,28219554,21,8,1,9,11,0,1,24,8,0,0,0,7,7,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,May 2019,SSA,0.23529411764705888,0.3980582524271843,0.07441648439943452
LBY,2019,5,6951033,58,7,2,10,17,50,3,91,7,0,0,0,4,15,0,0,31,1,14,0,0,0,1,0,4,0,3,0,0,0,0,0,0,9,May 2019,MNA,-0.546875,0.12114989733059534,0.8344083534058895
MLI,2019,5,21068405,105,7,8,28,26,12,7,94,7,0,0,0,18,22,0,0,2,8,2,0,1,5,1,0,3,0,6,0,0,0,0,0,0,13,May 2019,SSA,-0.37,0.20641711229946513,0.4983765975639826
SSD,2019,5,10423384,107,4,4,23,15,1,3,60,2,3,0,2,7,15,0,0,0,0,0,0,2,0,0,0,2,3,1,0,0,0,1,0,0,12,May 2019,SSA,-0.40028024287716013,-0.28712871287128716,1.026538022584604
SOM,2019,5,16030971,389,7,10,54,140,86,0,375,6,1,0,0,32,106,2,2,21,22,3,2,0,1,3,3,4,1,0,0,0,1,0,3,0,84,May 2019,SSA,-0.19890166466449288,0.26050420168067223,2.4265529517831452
NGA,2019,5,209485641,534,50,18,63,41,8,13,185,46,0,1,3,38,27,0,0,6,1,0,0,8,0,2,13,4,0,5,0,0,0,1,0,0,38,May 2019,SSA,0.05516219331467154,0.027302174919018984,0.25491007281019323
EGY,2019,5,107553158,128,12,1,5,12,33,1,61,6,0,1,6,4,10,0,0,17,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,May 2019,MNA,0.4449670743179681,0.26863084922010394,0.11901091737352798
SDN,2019,5,45548175,25,98,7,15,6,0,5,53,83,1,2,7,11,6,0,0,0,0,0,0,1,0,0,0,1,2,4,0,0,6,2,0,0,5,May 2019,SSA,-0.6710526315789473,-0.2517647058823529,0.0548869411343045
PSE,2019,5,4685306,31,19,81,34,2,85,147,373,18,9,3,1,33,1,0,0,44,0,21,0,111,1,26,0,0,0,36,4,0,0,37,0,0,23,May 2019,MNA,1.7352941176470589,-0.270296706879687,0.6616430175531759
NER,2019,5,22947757,58,1,8,21,3,2,1,41,1,0,0,0,15,3,0,0,1,1,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,6,May 2019,SSA,-0.014164305949008527,0.8358208955223883,0.2527480136729703
SAU,2019,5,30063799,107,0,4,0,7,24,0,37,0,0,0,0,0,6,0,0,6,1,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,May 2019,MNA,-0.10709318497913767,-0.2525252525252525,0.35590977707108806
MOZ,2019,5,29884380,50,4,0,24,2,0,0,26,4,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,May 2019,SSA,1.2140221402214024,0.6864864864864866,0.16731148513035907
TTO,2019,5,1363985,16,2,0,11,2,0,0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,May 2019,LAC,-0.16157205240174666,-0.4183123877917414,1.1730334277869625
UZB,2019,5,32964701,1,5,0,1,0,0,1,3,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,May 2019,ECA,0,-0.1428571428571429,0.003033547915389859
BFA,2019,5,20961952,100,23,13,25,16,2,5,65,23,3,0,0,18,15,0,0,1,0,1,0,3,2,7,0,5,0,2,0,0,0,0,0,0,4,May 2019,SSA,0.11008325624421844,0.342512908777969,0.47705480863614225
ISR,2019,5,9054000,5,22,13,0,0,49,5,90,22,4,0,0,0,0,0,0,0,0,26,0,2,5,3,0,0,0,3,0,0,0,1,0,0,23,May 2019,MNA,2.1578947368421053,1.8198433420365534,0.0552242102937928
TUN,2019,5,11875081,4,67,3,0,3,1,13,23,66,0,0,1,0,3,0,0,0,1,0,0,2,1,0,0,0,0,11,0,0,0,0,0,0,2,May 2019,MNA,0.4117647058823528,-0.20461095100864557,0.03368398076611014
IDN,2019,5,272489381,3,104,4,7,4,1,25,49,102,0,4,2,3,2,0,0,0,0,0,1,9,0,0,0,0,0,16,0,0,0,0,0,0,6,May 2019,EAP,-0.7906976744186047,0.5849056603773584,0.0011009603343038164
PRI,2019,5,3193694,8,2,0,6,4,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,May 2019,LAC,-0.2727272727272727,-0.2638036809815951,0.25049362900766325
JAM,2019,5,2823271,16,1,3,16,5,0,0,45,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,May 2019,LAC,-0.21632653061224494,0.2705882352941178,0.5667185332190923
KEN,2019,5,51202827,21,18,0,8,3,0,10,28,15,0,0,3,4,3,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,4,May 2019,SSA,-0.22699386503067487,-0.3823529411764707,0.04101336045371089
CAF,2019,5,4944703,65,2,8,11,1,0,2,25,2,4,0,0,9,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,3,May 2019,SSA,-0.1603875134553283,-0.5454545454545454,1.3145380015746142
HTI,2019,5,11105163,16,23,5,17,5,0,11,64,23,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,26,May 2019,LAC,-0.362126245847176,0.27152317880794685,0.14407712880936552
BDI,2019,5,12255336,14,3,3,34,4,3,3,60,1,0,0,1,27,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,1,1,0,11,May 2019,SSA,-0.4084507042253521,-0.28071928071928076,0.1142359540366743
ZAF,2019,5,59587885,9,58,0,6,0,0,61,72,58,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,54,0,0,0,0,0,0,5,May 2019,SSA,0.830508474576271,0.11483870967741949,0.015103741305804023
TCD,2019,5,16685223,93,2,2,3,5,1,3,16,1,0,1,1,3,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,May 2019,SSA,1.4745011086474498,0.4117647058823528,0.5573794248959094
LKA,2019,5,21803000,5,35,15,7,1,1,18,57,35,1,1,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,15,May 2019,SAR,-0.801980198019802,1.5811320754716984,0.022932623950832457
UGA,2019,5,42999637,11,8,0,10,4,0,14,34,3,0,0,5,10,3,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,1,May 2019,SSA,0.18918918918918926,0.020000000000000018,0.025581611305230324
MYS,2019,5,33440596,1,8,1,2,0,0,0,4,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,May 2019,EAP,-0.5,-0.4576271186440678,0.0029903773246146687
DZA,2019,5,43294546,8,224,5,0,2,0,2,18,220,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,May 2019,MNA,0.4328358208955225,-0.2847682119205298,0.018478078047059324
LBN,2019,5,5794594,1,69,8,5,5,1,10,34,68,3,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,4,May 2019,MNA,-0.6470588235294118,0.47292418772563183,0.017257464457389075
NPL,2019,5,28414064,16,306,33,18,2,8,63,159,299,0,0,7,8,1,0,0,0,4,0,0,32,17,0,0,0,2,31,0,1,0,0,0,0,28,May 2019,SAR,7.727272727272728,0.9813084112149533,0.05631014275184289
CIV,2019,5,28193009,17,8,0,7,1,0,17,29,5,0,0,3,6,1,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,1,May 2019,SSA,4.828571428571429,2.378640776699029,0.060298636445652185
JOR,2019,5,10671891,2,54,4,0,1,0,8,13,54,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,0,0,0,May 2019,MNA,-0.11111111111111116,-0.09826589595375723,0.01874082109721698
NIC,2019,5,6483657,2,23,0,4,0,0,4,14,19,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,May 2019,LAC,-0.4814814814814815,-0.8243727598566308,0.03084678908831852
CYP,2019,5,1286671,1,13,2,1,0,0,1,5,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,May 2019,ECA,NA,NA,0.07771994550277421
ARG,2019,5,44973465,7,60,0,6,0,0,10,19,57,0,0,3,6,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,May 2019,LAC,3.2,-0.25652173913043486,0.015564733560111503
GHA,2019,5,31258945,2,4,0,2,1,0,8,13,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,May 2019,SSA,-0.3513513513513514,0.368421052631579,0.006398168588223308
KHM,2019,5,16481304,1,4,0,2,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,May 2019,EAP,-0.36842105263157887,-0.6363636363636364,0.006067481068245571
RUS,2019,5,145453291,3,145,2,1,1,0,6,34,124,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,3,May 2019,ECA,-0.6086956521739131,-0.4061135371179039,0.0020625177879268473
IRN,2019,5,87051648,2,403,4,0,4,0,6,29,392,0,0,10,0,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,4,May 2019,MNA,-0.8923766816143498,0.21254355400696867,0.002297486659873458
RWA,2019,5,12776103,4,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May 2019,SSA,0.04347826086956519,-0.41463414634146334,0.03130845141120105
DOM,2019,5,10894043,1,3,0,1,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,May 2019,LAC,-0.6111111111111112,-0.7358490566037736,0.009179328555982384
KAZ,2019,5,19209555,1,42,1,2,0,0,0,14,32,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,May 2019,ECA,0,2,0.005205742662961219
AZE,2019,5,10024283,1,14,0,1,394,0,0,402,7,0,0,7,1,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May 2019,ECA,-0.7209302325581395,-0.3471376370280146,0.009975775823567632
CHN,2019,5,1407745000,1,184,49,39,0,0,3,107,172,13,0,11,13,0,0,0,0,0,0,0,1,0,36,0,22,0,2,0,0,1,0,0,0,4,May 2019,EAP,-0.6666666666666667,-0.2311377245508982,7.103559238356379e-5
PER,2019,5,32449303,1,66,0,2,0,2,22,37,59,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,4,May 2019,LAC,-0.55,1.6640000000000001,0.003081730291710734
LSO,2019,6,2209405,2,2,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Jun 2019,SSA,0.1428571428571428,0.125,0.09052210889357089
LBR,2019,6,5043721,2,3,0,1,0,0,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,Jun 2019,SSA,-0.11111111111111116,-0.0625,0.03965326392954725
HND,2019,6,9943633,121,114,5,76,11,1,54,240,103,0,0,8,5,7,0,0,0,0,0,0,4,0,0,0,0,0,50,0,0,1,1,0,0,82,Jun 2019,LAC,0.9155672823218999,1.058613295210865,1.2168590695171473
GTM,2019,6,17103803,109,99,3,62,55,0,41,274,95,0,2,4,8,1,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,1,0,0,109,Jun 2019,LAC,0.48805460750853236,0.765843179377014,0.6372851698537454
BRA,2019,6,207455459,403,455,46,202,456,12,79,1456,450,2,5,3,13,37,0,0,0,0,0,0,18,0,5,0,1,2,55,0,0,2,1,0,0,656,Jun 2019,LAC,-0.22932270916334652,-0.11093018522287812,0.1942585661243072
MEX,2019,6,125762982,737,419,34,483,115,4,52,1281,417,0,23,2,14,4,0,0,0,1,0,0,30,0,0,0,1,2,20,0,0,0,2,0,0,591,Jun 2019,LAC,-0.09403810694529813,-0.08516336368505628,0.5860229999953405
IRQ,2019,6,41192171,308,24,16,17,70,152,2,307,22,0,1,1,4,66,0,0,87,28,11,0,0,3,5,0,2,0,2,0,0,1,0,0,0,48,Jun 2019,MNA,-0.11473053892215579,0.1903069466882068,0.7477148995133079
MOZ,2019,6,29884380,57,0,0,8,3,0,2,15,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,Jun 2019,SSA,1.2426229508196722,-0.09547738693467334,0.19073509304860933
PHL,2019,6,110804683,132,12,1,91,16,1,0,144,10,0,0,2,62,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33,Jun 2019,EAP,-0.2399232245681382,-0.21490231712857788,0.11912853899866307
AFG,2019,6,37856121,3209,4,31,24,742,241,0,1062,3,1,0,0,20,713,10,14,102,93,33,2,0,13,8,1,0,0,0,0,0,1,5,0,0,23,Jun 2019,SAR,-0.12672351233671986,-0.05816273741778133,8.47683258408858
MAR,2019,6,36210898,1,33,1,0,0,1,2,4,33,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Jun 2019,MNA,-0.1428571428571429,-0.4,0.0027615995604417212
SSD,2019,6,10423384,75,3,1,16,6,0,4,40,2,0,0,0,5,3,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,12,Jun 2019,SSA,-0.5647969052224371,-0.5141700404858299,0.7195359971387412
VEN,2019,6,28938098,258,139,10,120,83,2,23,387,134,2,4,3,41,18,0,0,0,0,0,0,9,0,1,0,3,0,14,0,0,2,2,0,0,144,Jun 2019,LAC,0.08669708669708664,0.34219653179190757,0.8915582496126732
IND,2019,6,1389030312,152,1285,28,128,65,17,353,693,1242,0,6,41,88,59,0,0,0,3,0,0,290,3,9,0,3,0,63,1,0,2,1,6,0,59,Jun 2019,SAR,0.17223650385604117,-0.0600203458799593,0.010942885744598495
MLI,2019,6,21068405,230,6,12,34,16,8,4,88,5,1,0,1,24,13,0,0,0,6,1,0,1,2,6,0,4,0,3,0,0,0,0,0,0,13,Jun 2019,SSA,0.40529531568228117,0.10114702815432741,1.0916820708544381
TUR,2019,6,82579440,107,158,22,20,76,12,13,185,121,11,2,37,17,76,0,0,7,2,2,0,12,4,4,0,0,0,0,0,0,0,1,0,0,5,Jun 2019,ECA,0.6070087609511892,0.07298211696471735,0.12957220344434403
PAK,2019,6,230800899,108,438,14,40,33,22,75,231,437,2,6,1,26,22,0,0,0,3,0,0,23,1,1,0,0,2,52,0,0,0,0,0,0,46,Jun 2019,SAR,-0.06425992779783396,0.15548145060441865,0.04679357856400724
LBY,2019,6,6951033,295,2,5,2,38,39,0,90,2,0,0,0,0,36,1,0,32,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,Jun 2019,MNA,1.5231646471846045,0.11455108359133126,4.243973521633404
NGA,2019,6,209485641,779,43,8,84,54,10,16,225,42,1,0,0,38,41,3,3,8,0,0,1,9,0,5,0,3,0,7,1,0,1,0,0,0,52,Jun 2019,SSA,0.5487077534791251,0.2622720897615709,0.3718631961032594
SDN,2019,6,45548175,48,109,4,16,11,0,7,73,78,1,1,15,13,10,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,15,2,0,0,4,Jun 2019,SSA,-0.31591448931116395,0.03180212014134276,0.10538292697786464
SOM,2019,6,16030971,413,3,16,55,136,56,2,313,3,4,1,0,37,115,2,1,7,25,2,0,1,2,4,4,5,0,1,0,0,0,1,5,0,48,Jun 2019,SSA,-0.13538032100488484,0.03300330033003296,2.576263159605242
THA,2019,6,71522271,13,11,13,15,5,3,0,47,11,1,8,0,7,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,11,Jun 2019,EAP,-0.09826589595375723,0.32705882352941185,0.01817615662679391
YEM,2019,6,35111408,3143,22,36,46,307,619,3,1040,22,11,1,0,32,264,28,8,143,66,398,1,0,5,11,2,3,0,3,1,2,0,3,0,0,29,Jun 2019,MNA,0.05134637899314276,-0.00865835252998648,8.951506587260756
COD,2019,6,92947442,676,72,30,81,64,1,27,279,58,5,2,14,30,51,4,1,0,1,0,0,4,1,5,1,3,3,23,2,0,0,5,0,0,62,Jun 2019,SSA,1.513011152416357,0.2991850989522702,0.7272927424941937
SYR,2019,6,20353534,1579,4,64,77,192,1321,0,1812,3,14,15,1,31,148,2,4,876,18,346,1,0,3,13,1,22,0,0,0,0,0,2,1,0,157,Jun 2019,MNA,-0.032870559412004896,0.09890332036185367,7.757866520870528
COL,2019,6,49907985,139,35,29,97,41,19,12,304,32,6,1,2,11,30,0,0,0,9,0,0,2,3,8,0,8,0,10,1,0,1,6,0,0,103,Jun 2019,LAC,0.1097804391217565,-0.056876938986556325,0.27851254663958086
AZE,2019,6,10024283,3,0,10,0,287,0,0,306,0,0,1,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Jun 2019,ECA,-0.027027027027027084,-0.4717306862321968,0.02992732747070289
HTI,2019,6,11105163,24,29,9,10,6,0,38,88,25,0,0,3,1,4,0,0,0,0,0,0,8,0,0,0,0,0,29,0,0,1,0,0,0,21,Jun 2019,LAC,-0.04950495049504955,0.6656151419558358,0.21611569321404828
SAU,2019,6,30063799,213,0,10,1,11,25,0,48,0,0,0,0,0,9,0,2,6,3,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,Jun 2019,MNA,0.7936842105263158,0.08270676691729317,0.7084932945433808
MMR,2019,6,52640713,241,32,10,21,48,9,0,98,31,4,1,0,11,48,0,0,1,2,1,0,0,1,1,0,6,1,0,0,0,0,3,0,0,9,Jun 2019,EAP,2.9834710743801653,0.13294797687861282,0.45782054661759614
ETH,2019,6,115737383,70,6,2,5,2,2,1,16,6,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Jun 2019,SSA,-0.34375,-0.633587786259542,0.06048175462892574
CMR,2019,6,25506095,202,5,8,42,15,1,1,74,0,0,0,5,33,15,0,0,0,1,0,0,1,1,7,0,6,1,0,0,0,0,0,0,0,2,Jun 2019,SSA,0.4101221640488657,-0.11465603190428708,0.791967566967817
